"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"47","EXPC STOCK ANALYSIS - HELICOPTER STOCK?! BLADE STOCK ANALYSIS!","EXPC","6663","445","12","0","143","2020-12-16T19:02:16Z","Jack Spencer Investing"
"48","GOLDEN NUGGET (GNOG) MERGER WITH LANDCADIO HOLDINGS! (LCA) BUY LCA STOCK?","LAB","9948","583","4","0","159","2020-07-01T15:55:58Z","Jack Spencer Investing"
"49","GRAF STOCK ANALYSIS! IS THIS THE FUTURE OR JUST HYPE? AUTONOMOUS TECH","GRAF","14515","922","26","0","289","2020-09-30T15:59:01Z","Jack Spencer Investing"
"50","HOW DID I MISS THIS? WORKHORSE STOCK UPDATE. WKHS STOCK NEWS.","WKHS","26536","2003","27","0","349","2021-01-09T14:59:03Z","Jack Spencer Investing"
"51","HOW WORKHORSE STOCK WILL BE A LONG TERM WINNER. WKHS STOCK NEWS.","WKHS","17775","1441","39","0","337","2020-11-17T16:00:35Z","Jack Spencer Investing"
"52","HUGE BFT STOCK NEWS! PAYSAFE AND MICROSOFT PARTNERSHIP!","BFT","21155","1463","23","0","279","2020-12-26T17:59:00Z","Jack Spencer Investing"
"53","HUGE CCIV STOCK NEWS! ARE THE RUMOURS CONFIRMED?!","CCIV","18158","1344","21","0","217","2021-02-12T14:59:01Z","Jack Spencer Investing"
"54","HUGE CCIV STOCK NEWS! NEW LUCID MOTORS FACTORY COMING?","CCIV","16505","1059","16","0","311","2021-01-25T14:59:01Z","Jack Spencer Investing"
"55","HUGE CLIS STOCK UPDATES! ALREADY HALF WAY TO 10X!","CLIS","11357","738","17","0","221","2021-02-18T18:59:01Z","Jack Spencer Investing"
"56","HUGE HYLIION STOCK NEWS! - NEW CUSTOMERS? MERGER SOON?! - SHLL STOCK!","HYLN","16209","1431","26","0","329","2020-09-02T18:59:05Z","Jack Spencer Investing"
"57","HUGE IDEX STOCK NEWS! IS IT TIME TO BUY THIS PENNY STOCK?","IDEX","17958","1123","20","0","173","2021-01-06T13:59:01Z","Jack Spencer Investing"
"58","HUGE LORDSTOWN MOTORS STOCK NEWS! PRODUCTION UPDATES AND A NEW VAN?!","RIDE","8960","891","7","0","83","2021-01-29T18:59:01Z","Jack Spencer Investing"
"59","HUGE LUCID MOTORS STOCK UPDATE. CCIV STOCK NEWS. WHY I'M NOT SELLING.","RIDE","27063","1603","19","0","546","2021-01-14T14:59:00Z","Jack Spencer Investing"
"60","HUGE NIO STOCK PREDICTIONS.. 2 MILLION SALES A YEAR?! NIO STOCK NEWS","NIO","12768","903","30","0","199","2020-11-10T17:59:02Z","Jack Spencer Investing"
"61","HUGE NIO STOCK Q3 DELIVERIES! IS NIO STOCK A BUY NOW?","NIO","13847","1012","15","0","317","2020-10-02T17:59:02Z","Jack Spencer Investing"
"62","HUGE NNDM STOCK NEWS! CAN THE RUN CONTINUE? NANO DIMENSIONS STOCK!","NNDM","19227","1171","19","0","340","2020-12-01T19:59:54Z","Jack Spencer Investing"
"63","HUGE PALANTIR STOCK MOVES COMING NEXT WEEK? PLTR STOCK ANALYSIS!","PLTR","15316","966","26","0","120","2021-01-23T18:59:01Z","Jack Spencer Investing"
"64","HUGE TESLA STOCK BATTERY DAY NEWS! $25,000 TESLA CAR! TSLA STOCK NEWS!","TESLA","5583","465","8","0","134","2020-09-23T17:59:11Z","Jack Spencer Investing"
"65","HUGE WORKHORSE STOCK MANIPULATION - WORKHORSE STOCK NEWS - WKHS STOCK","WKHS","26708","1933","45","0","343","2020-11-27T15:59:02Z","Jack Spencer Investing"
"66","HUGE WORKHORSE STOCK NEWS IS COMING!! WKHS STOCK USPS CONTRACT UPDATE","WKHS","41669","4386","22","0","791","2020-09-18T14:59:01Z","Jack Spencer Investing"
"67","HUGE WORKHORSE STOCK NEWS! - CHARGE ACT! - GSA! - USPS CONTRACT!","WKHS","28556","2563","44","0","552","2020-10-02T14:59:02Z","Jack Spencer Investing"
"68","HUGE WORKHORSE STOCK NEWS! $20 BILLION USPS CONTRACT? 160 MILE RANGE!","WKHS","31025","2656","31","0","612","2020-09-25T14:59:01Z","Jack Spencer Investing"
"69","HUGE WORKHORSE STOCK NEWS! 500 VEHICLE ORDER. WKHS STOCK Q3 EARNINGS!","WKHS","18382","1961","36","0","224","2020-11-09T18:59:01Z","Jack Spencer Investing"
"70","HUGE WORKHORSE STOCK NEWS! USPS UPDATE, UPCOMING EARNINGS, ARK INVEST!","WKHS","16019","1621","19","0","532","2020-08-07T15:59:03Z","Jack Spencer Investing"
"71","HUGE WORKHORSE STOCK NEWS! WKHS STOCK CONTRACT SOON?! HIRING EMPLOYEES","WKHS","23946","2187","18","0","368","2020-09-04T14:59:01Z","Jack Spencer Investing"
"72","HUGE WORKHORSE STOCK NEWS! WKHS STOCK STRATEGIC DEAL WITH HITACHI!","WKHS","19411","2296","21","0","345","2020-08-31T18:59:02Z","Jack Spencer Investing"
"73","HUGE WORKHORSE STOCK NEWS?! - USPS CONTRACT LEAKED?! - WKHS STOCK!","WKHS","30027","2850","62","0","521","2020-10-07T15:59:01Z","Jack Spencer Investing"
"74","HUGE WORKHORSE STOCK PRICE PREDICTION! - WORKHORSE STOCK NEWS!","WKHS","19825","1524","50","0","273","2020-11-13T15:59:01Z","Jack Spencer Investing"
"75","HUGE WORKHORSE STOCK PRICE PREDICTION. - THIS COULD BE BIG.","WKHS","27365","2436","44","0","399","2020-11-22T18:59:01Z","Jack Spencer Investing"
"76","HUGE WORKHORSE STOCK UPDATES VIA STEVE SCHRADER - WKHS CFO.","WKHS","17645","1307","16","0","210","2021-01-28T16:59:02Z","Jack Spencer Investing"
"77","HYLIION MERGER, DPHC, WORKHORSE, SPCE, SBE! STOCK NEWS LIVE!","SBE!","19924","1945","21","0","135","2020-09-28T20:46:22Z","Jack Spencer Investing"
"78","HYLIION STOCK PRICE TARGET! TOO LATE TO BUY SHLL STOCK?!","HYLN","27065","1785","20","0","545","2020-08-24T15:59:07Z","Jack Spencer Investing"
"79","I JUST BOUGHT TESLA STOCK! - IS IT TOO LATE TO BUY TSLA STOCK NOW?","TSLA","7785","510","14","0","394","2020-07-13T16:59:18Z","Jack Spencer Investing"
"80","I JUST BOUGHT THIS HIDDEN GEM PENNY STOCK! TMDI STOCK ANALYSIS!","TMDI","32177","1636","25","0","277","2021-01-20T14:46:53Z","Jack Spencer Investing"
"81","I JUST PUT $5000 INTO THIS PENNY STOCK. - OEG STOCK UPDATE.","OEG","35170","1581","30","0","327","2020-12-31T17:59:01Z","Jack Spencer Investing"
"82","IMPORTANT BNGO STOCK CATALYSTS. BIONANO GENOMICS STOCK NEWS!","BNGO","16154","1135","16","0","297","2021-01-17T18:59:01Z","Jack Spencer Investing"
"83","IMPORTANT BNGO STOCK NEWS. BIONANO GENOMICS NEWS - SHARE OFFERING.","BNGO","13745","900","8","0","179","2021-01-20T16:59:01Z","Jack Spencer Investing"
"84","IMPORTANT BNGO STOCK NEWS. BIONANO GENOMICS STOCK UPDATE.","BNGO","26218","1464","24","0","271","2021-01-09T16:59:00Z","Jack Spencer Investing"
"85","IMPORTANT LUCID MOTORS STOCK UPDATES! CCIV STOCK NEWS!","RIDE","20680","1466","26","0","290","2021-01-17T14:59:02Z","Jack Spencer Investing"
"86","INSTITUTIONS ARE BUYING WORKHORSE STOCK! WKHS STOCK NEWS!","WKHS","23403","2379","19","0","665","2020-10-09T15:59:03Z","Jack Spencer Investing"
"87","IS CANOO STOCK AN EV STOCK TO BUY NOW?! HCAC STOCK ANALYSIS!","CANOO","13571","717","33","0","268","2020-08-19T15:59:10Z","Jack Spencer Investing"
"88","IS HYLIION STOCK OVERVALUED? TOO LATE TO BUY SHLL STOCK? WHEN TO SELL?","HYLN","17629","1401","27","0","257","2020-09-22T18:58:59Z","Jack Spencer Investing"
"89","IS IT TIME TO BUY LORDSTOWN MOTORS STOCK? WHY THEY COULD EXPLODE SOON.","LAB","10978","894","16","0","219","2021-01-02T16:59:01Z","Jack Spencer Investing"
"90","IS IT TIME TO BUY PALANTIR STOCK NOW? IS PLTR STOCK READY TO BREAKOUT?","PLTR","19598","1205","28","0","313","2021-01-01T18:59:01Z","Jack Spencer Investing"
"91","IS IT TIME TO BUY THIS SPAC NOW?! VGAC STOCK ANALYSIS!","VGAC","17734","1028","67","0","420","2021-01-21T18:44:45Z","Jack Spencer Investing"
"92","IS IT TOO LATE TO BUY BNGO STOCK? BIONANO GENOMICS STOCK ANALYSIS!","BNGO","37221","1723","40","0","585","2021-01-02T14:59:01Z","Jack Spencer Investing"
"93","IS IT TOO LATE TO BUY NIO STOCK NOW?! - IS IT THE NEXT TESLA?..","NIO","9246","639","30","0","185","2020-07-05T17:59:13Z","Jack Spencer Investing"
